Partcipant ID, Activity ID, Sample Count, Min, Max, Std. Deviation, Average, Mean, Median, Kurtosis, Skewness
1,1,30,-0.064550029,0.021219063,0.01814145726292977,-0.017829103900333335,-0.017829103900333335,-0.017807094000000002,0.1752167795651225,-0.20234871476880717
1,1,30,-0.044653002,0.01534272,0.014230273479779149,-0.01659916835333333,-0.01659916835333333,-0.017464881,-0.40004924219531635,0.234853307224989
1,1,30,-0.054635143,0.027317684,0.021761006683214158,-0.016937005762666667,-0.016937005762666667,-0.0178314745,-0.8257303815758266,0.06808461988771287
1,1,5,-0.038897051,-0.00050888361,0.012607261142715655,-0.022100883922,-0.022100883922,-0.022024777,-0.6341765262275412,0.5037305879129855
1,2,30,-0.076558729,0.0077234474,0.020866268119420293,-0.026484154570000005,-0.026484154570000005,-0.023494475,-0.010179324287231228,-0.6528764186981068
1,2,23,-0.074887013,0.016833852,0.021958050310012904,-0.020651837996086955,-0.020651837996086955,-0.020857894,-0.04536119796963334,-0.5095363536601027
1,3,30,-0.064726783,0.052146924,0.02439889365314019,-0.009695681790000002,-0.009695681790000002,-0.0072857083,0.4173203220053092,-0.007729574675133444
1,3,19,-0.056165676,0.032174046,0.027282885246293666,-0.010270330115789476,-0.010270330115789476,-0.011803726,-1.1775184672937764,-0.01874272151566769
1,4,30,-0.037455064,0.18926326,0.05744085944061185,0.0051301371256666645,0.0051301371256666645,-0.016155759999999998,4.587952828880778,2.4729507931827346
1,4,17,-0.019722322,0.018053586,0.008451057761852879,-0.012670213729411763,-0.012670213729411763,-0.015470231,7.371217108043421,2.7634437822027955
1,5,30,-0.035370696,0.027093908,0.009928332156808514,-0.016347101713333333,-0.016347101713333333,-0.017347062500000003,9.88192585487183,2.4426929409254954
1,5,23,-0.032762393,0.034225504,0.011845463234259427,-0.015864314091304347,-0.015864314091304347,-0.016755348,11.154383711345034,3.1439184202740784
1,6,30,-0.68409659,0.1036482,0.14747120068585284,-0.05945096276000001,-0.05945096276000001,-0.0176645035,9.053222766104794,-3.003473285158129
1,6,20,-0.042535659,0.07922905,0.023221691398016622,-0.0121084394335,-0.0121084394335,-0.017702036499999997,9.179066665988499,2.9517843888907946
3,1,30,-0.05490863,0.022608484,0.018807301322057823,-0.018148692466666668,-0.018148692466666668,-0.019560551500000002,-0.2408235842095694,0.0854405229596077
3,1,28,-0.053056489,0.027868452,0.021624811612214072,-0.01613545437071429,-0.01613545437071429,-0.014513179000000001,-0.9949345399306306,0.09856470943495904
3,2,30,-0.16110183,0.034980469,0.04428027513036071,-0.03255604812166667,-0.03255604812166667,-0.0255329145,0.7230835280094716,-1.0078697806714079
3,2,29,-0.17149004,0.036049984,0.046192352800044176,-0.03226083029758621,-0.03226083029758621,-0.019329601,1.6712860822202735,-1.3690829813471517
3,3,30,-0.072325023,0.017742643,0.024003050159891962,-0.019317678433666666,-0.019317678433666666,-0.0143440045,-0.6823806048920531,-0.4336377840146105
3,3,19,-0.054026822,0.0092565328,0.01847782753292183,-0.019414980826315792,-0.019414980826315792,-0.022355798,-1.190340324898453,-0.016649907822856195
3,4,30,-0.11349946,0.32412953,0.07910268155074747,0.008982417630000001,0.008982417630000001,-0.014556784,6.625392707367833,2.4369483351130437
3,4,22,-0.085983504,0.026935894,0.026593705884791208,-0.020528565754545453,-0.020528565754545453,-0.0169735385,0.9920145973088244,-1.0414207239769893
3,5,30,-0.039067631,0.10254087,0.026270470505362804,-0.014098813366666666,-0.014098813366666666,-0.0203820485,10.353838735439567,2.994281763508973
3,5,30,-0.050236136,0.041930333,0.015922545952302417,-0.014628146330000001,-0.014628146330000001,-0.015547311500000001,4.262177632013783,1.3862404436026046
3,5,1,-0.012788195,-0.012788195,0.0,-0.012788195,-0.012788195,-0.012788195,nan,nan
3,6,30,-0.029489979,-0.010370885,0.003665056457985149,-0.01703591776666667,-0.01703591776666667,-0.0170454185,2.7802377578300383,-1.1173954067926313
3,6,30,-0.06840145,-0.0097170633,0.01023182818441047,-0.021053053776666667,-0.021053053776666667,-0.0189403915,12.53355907766103,-3.2846026359969405
